|e4|c5;e5|B00 King's Pawn
-|c5|Nf3;Nc3;c3;d3|B20 Sicilian Defense
--|Nf3|d6;Nc6;e6;g6;a6|B27 Sicilian Defense
---|d6|d4;Bb5+;c3;Nc3|B50 Sicilian Defense
----|d4|cxd4;Nf6;Nd7|B50 Sicilian Defense
-----|cxd4|Nxd4;Qxd4;c3|B50 Sicilian Defense
------|Nxd4|Nf6;a6|B50 Sicilian Defense
-------|Nf6|Nc3;f3|B54 Sicilian Defense: Modern Variations, Main Line
--------|Nc3|a6;Nc6;g6;e6;Bd7|B56 Sicilian Defense: Modern Variations
---------|a6|Be3;Bg5;Be2;Bc4;h3;f3|B90 Sicilian Defense: Najdorf Variation
----------|Be3|e5;e6;Ng4|B90 Sicilian Defense: Najdorf Variation, English Attack
-----------|e5|Nb3;Nf3|B90 Sicilian Defense: Najdorf Variation, English Attack
------------|Nb3|Be6;Be7|B90 Sicilian Defense: Najdorf Variation, English Attack
-------------|Be6|f3;Qd2|B90 Sicilian Defense: Najdorf Variation, English Attack
--------------|f3|Be7;h5|B90 Sicilian Defense: Najdorf Variation, English Attack
---------------|Be7|Qd2;g4|B90 Sicilian Defense: Najdorf Variation, English Attack
----------------|Qd2|O-O;Nbd7|B90 Sicilian Defense: Najdorf Variation, English Attack
-----------------|O-O|O-O-O;g4|B90 Sicilian Defense: Najdorf Variation, English Attack
------------------|O-O-O|Nbd7|B90 Sicilian Defense: Najdorf Variation, English Attack
-------------------|Nbd7||B90 Sicilian Defense: Najdorf Variation, English Attack
------------------|g4||B90 Sicilian Defense: Najdorf Variation, English Attack
-----------------|Nbd7||B90 Sicilian Defense: Najdorf Variation, English Attack
----------------|g4||B90 Sicilian Defense: Najdorf Variation, English Attack
---------------|h5||B90 Sicilian Defense: Najdorf Variation, English Attack
--------------|Qd2||B90 Sicilian Defense: Najdorf Variation, English Attack
-------------|Be7||B90 Sicilian Defense: Najdorf Variation, English Attack
------------|Nf3||B90 Sicilian Defense: Najdorf Variation, English Attack
-----------|e6|f3|B90 Sicilian Defense: Najdorf Variation, English Attack
------------|f3||B90 Sicilian Defense: Najdorf Variation, English Attack
-----------|Ng4||B90 Sicilian Defense: Najdorf Variation, English Attack
----------|Bg5|e6;Nbd7|B94 Sicilian Defense: Najdorf Variation
-----------|e6|f4;Qf3|B95 Sicilian Defense: Najdorf Variation
------------|f4|Qb6;Be7|B96 Sicilian Defense: Najdorf Variation
-------------|Qb6|Qd2|B97 Sicilian Defense: Najdorf Variation, Poisoned Pawn Variation
--------------|Qd2||B97 Sicilian Defense: Najdorf Variation, Poisoned Pawn Variation
